,A,B,C,D,E,F,G,H,I,J,K,L,M,TOTAL
P1,1,1,1,1,0,0,0,0,1,1,0,0,0,6
P2,1,0,1,1,0,0,0,1,0,1,0,0,0,5
P3,0,1,1,1,0,0,0,0,1,1,0,0,0,5
P4,1,1,0,1,0,0,1,1,0,0,0,0,0,5
P5,0,1,1,1,0,0,0,0,1,0,0,0,0,4
P6,1,1,1,1,0,0,0,1,1,1,0,0,0,7
P7,0,0,1,1,1,1,0,0,1,1,0,0,0,6
P8,0,0,0,0,1,0,0,1,1,1,0,0,0,4
P9,0,0,0,0,1,1,1,0,1,1,0,0,0,5
P10,0,0,0,0,1,1,0,0,1,1,0,0,0,4
P11,0,0,0,0,1,0,1,0,1,0,0,0,0,3
P12,0,0,0,0,1,1,1,0,1,1,0,0,0,5
P13,0,0,0,0,1,1,1,1,1,0,0,0,0,5
P14,0,0,0,0,1,1,1,1,0,0,0,0,0,4
P15,0,0,0,0,1,1,1,1,0,1,0,0,0,5
P16,0,0,0,0,0,1,0,1,1,1,0,0,0,4
P17,0,0,0,0,0,0,0,0,0,0,1,1,1,3
P18,0,0,0,0,0,0,0,0,0,0,1,1,1,3
P19,0,0,0,0,0,0,0,0,0,0,0,1,1,2
P20,0,0,0,0,0,0,0,0,0,0,1,1,1,3
TOTAL,4,5,6,7,9,8,7,8,12,11,3,4,4,88
